"","BOROUGH","NEIGHBORHOOD","TYPE.OF.HOME","NUMBER.OF.SALES","LOWEST.SALE.PRICE","AVERAGE.SALE.PRICE","MEDIAN.SALE.PRICE","HIGHEST.SALE.PRICE","YEAR","DISTRICT"
"70","Staten Island","NEW SPRINGVILLE","02 TWO FAMILY HOMES",81,170000,812974,558000,12500000,2005,"NEW SPRINGVILLE"
"71","Staten Island","OAKWOOD","01 ONE FAMILY HOMES",35,357000,516461,468000,865512,2005,"OAKWOOD"
"72","Staten Island","OAKWOOD","02 TWO FAMILY HOMES",4,201000,408167,423334,585000,2005,"OAKWOOD"
"73","Staten Island","OAKWOOD-BEACH","01 ONE FAMILY HOMES",58,180000,413216,417362,750000,2005,"OAKWOOD-BEACH"
"74","Staten Island","OAKWOOD-BEACH","02 TWO FAMILY HOMES",6,2e+05,586045,682000,760000,2005,"OAKWOOD-BEACH"
"75","Staten Island","PLEASANT PLAINS","01 ONE FAMILY HOMES",34,175000,500918,466500,975000,2005,"PLEASANT PLAINS"
"76","Staten Island","PLEASANT PLAINS","02 TWO FAMILY HOMES",16,412000,798900,768750,1135000,2005,"PLEASANT PLAINS"
"77","Staten Island","PORT IVORY","01 ONE FAMILY HOMES",42,180000,291106,299950,395000,2005,"PORT IVORY"
"78","Staten Island","PORT IVORY","02 TWO FAMILY HOMES",11,294000,336250,323868,5e+05,2005,"PORT IVORY"
"79","Staten Island","PORT RICHMOND","01 ONE FAMILY HOMES",135,155000,346331,315000,3250000,2005,"PORT RICHMOND"
"80","Staten Island","PORT RICHMOND","02 TWO FAMILY HOMES",101,150000,374117,370000,565128,2005,"PORT RICHMOND"
"81","Staten Island","PORT RICHMOND","03 THREE FAMILY HOMES",2,368740,399020,399020,429300,2005,"PORT RICHMOND"
"82","Staten Island","PRINCES BAY","01 ONE FAMILY HOMES",55,180000,551862,510000,1350000,2005,"PRINCES BAY"
"83","Staten Island","PRINCES BAY","02 TWO FAMILY HOMES",47,269000,673491,600666,1090000,2005,"PRINCES BAY"
"84","Staten Island","RICHMONDTOWN","01 ONE FAMILY HOMES",49,250000,669402,620000,1603743,2005,"RICHMONDTOWN"
"85","Staten Island","RICHMONDTOWN","02 TWO FAMILY HOMES",1,625000,625000,625000,625000,2005,"RICHMONDTOWN"
"86","Staten Island","RICHMONDTOWN-LIGHTHS HILL","01 ONE FAMILY HOMES",7,211000,710857,685000,1075000,2005,"RICHMONDTOWN-LIGHTHS HILL"
"87","Staten Island","ROSEBANK","01 ONE FAMILY HOMES",108,150000,379467,369250,7e+05,2005,"ROSEBANK"
"88","Staten Island","ROSEBANK","02 TWO FAMILY HOMES",53,150000,462637,460000,794000,2005,"ROSEBANK"
"89","Staten Island","ROSEBANK","03 THREE FAMILY HOMES",4,315000,433875,464000,492500,2005,"ROSEBANK"
"90","Staten Island","ROSSVILLE","01 ONE FAMILY HOMES",72,166500,470139,382500,1310000,2005,"ROSSVILLE"
"91","Staten Island","ROSSVILLE","02 TWO FAMILY HOMES",38,190000,623641,658750,998000,2005,"ROSSVILLE"
"92","Staten Island","ROSSVILLE-CHARLESTON","01 ONE FAMILY HOMES",40,173334,468697,422838,1150000,2005,"ROSSVILLE-CHARLESTON"
"93","Staten Island","ROSSVILLE-CHARLESTON","02 TWO FAMILY HOMES",10,250000,553023,532500,738231,2005,"ROSSVILLE-CHARLESTON"
"94","Staten Island","ROSSVILLE-PORT MOBIL","01 ONE FAMILY HOMES",1,475000,475000,475000,475000,2005,"ROSSVILLE-PORT MOBIL"
"95","Staten Island","ROSSVILLE-RICHMOND VALLEY","01 ONE FAMILY HOMES",4,474750,569938,527500,750000,2005,"ROSSVILLE-RICHMOND VALLEY"
"96","Staten Island","ROSSVILLE-RICHMOND VALLEY","02 TWO FAMILY HOMES",5,3e+05,586538,621500,733140,2005,"ROSSVILLE-RICHMOND VALLEY"
"97","Staten Island","SILVER LAKE","01 ONE FAMILY HOMES",25,172500,577628,488000,1550000,2005,"SILVER LAKE"
"98","Staten Island","SILVER LAKE","02 TWO FAMILY HOMES",8,325000,497125,495500,725000,2005,"SILVER LAKE"
"99","Staten Island","SILVER LAKE","03 THREE FAMILY HOMES",2,445000,452500,452500,460000,2005,"SILVER LAKE"
"100","Staten Island","SOUTH BEACH","01 ONE FAMILY HOMES",154,150000,413172,407300,850000,2005,"SOUTH BEACH"
"101","Staten Island","SOUTH BEACH","02 TWO FAMILY HOMES",55,150000,536717,560037,766742,2005,"SOUTH BEACH"
"102","Staten Island","SOUTH BEACH","03 THREE FAMILY HOMES",3,485000,531667,485000,625000,2005,"SOUTH BEACH"
"103","Staten Island","STAPLETON","01 ONE FAMILY HOMES",70,157500,312043,285600,750000,2005,"STAPLETON"
"104","Staten Island","STAPLETON","02 TWO FAMILY HOMES",60,190000,357299,352500,585000,2005,"STAPLETON"
"105","Staten Island","STAPLETON","03 THREE FAMILY HOMES",9,2e+05,335389,349800,450500,2005,"STAPLETON"
"106","Staten Island","STAPLETON-CLIFTON","01 ONE FAMILY HOMES",27,233500,330949,329550,445000,2005,"STAPLETON-CLIFTON"
"107","Staten Island","STAPLETON-CLIFTON","02 TWO FAMILY HOMES",5,245000,345400,317000,495000,2005,"STAPLETON-CLIFTON"
"108","Staten Island","SUNNYSIDE","01 ONE FAMILY HOMES",36,257500,422772,410000,580903,2005,"SUNNYSIDE"
"109","Staten Island","SUNNYSIDE","02 TWO FAMILY HOMES",15,340000,538978,550000,749330,2005,"SUNNYSIDE"
"110","Staten Island","SUNNYSIDE","03 THREE FAMILY HOMES",1,220000,220000,220000,220000,2005,"SUNNYSIDE"
"111","Staten Island","TODT HILL","01 ONE FAMILY HOMES",22,4e+05,1518800,1325000,3800000,2005,"TODT HILL"
"112","Staten Island","TOMPKINSVILLE","01 ONE FAMILY HOMES",19,285000,464026,380000,930000,2005,"TOMPKINSVILLE"
"113","Staten Island","TOMPKINSVILLE","02 TWO FAMILY HOMES",15,202800,403346,424080,650000,2005,"TOMPKINSVILLE"
"114","Staten Island","TOTTENVILLE","01 ONE FAMILY HOMES",133,224000,544900,454000,1629200,2005,"TOTTENVILLE"
"115","Staten Island","TOTTENVILLE","02 TWO FAMILY HOMES",82,190000,680326,675000,1900000,2005,"TOTTENVILLE"
"116","Staten Island","TRAVIS","01 ONE FAMILY HOMES",87,182500,359443,385210,625000,2005,"TRAVIS"
"117","Staten Island","TRAVIS","02 TWO FAMILY HOMES",10,255000,426448,417500,6e+05,2005,"TRAVIS"
"118","Staten Island","TRAVIS","03 THREE FAMILY HOMES",2,499000,529500,529500,560000,2005,"TRAVIS"
"119","Staten Island","WEST NEW BRIGHTON","01 ONE FAMILY HOMES",174,150000,357737,325000,950000,2005,"WEST NEW BRIGHTON"
"120","Staten Island","WEST NEW BRIGHTON","02 TWO FAMILY HOMES",92,213660,417267,414950,750000,2005,"WEST NEW BRIGHTON"
"121","Staten Island","WEST NEW BRIGHTON","03 THREE FAMILY HOMES",2,240000,267500,267500,295000,2005,"WEST NEW BRIGHTON"
"122","Staten Island","WESTERLEIGH","01 ONE FAMILY HOMES",110,165500,413069,415000,925000,2005,"WESTERLEIGH"
"123","Staten Island","WESTERLEIGH","02 TWO FAMILY HOMES",35,240000,519691,555000,690000,2005,"WESTERLEIGH"
"124","Staten Island","WILLOWBROOK","01 ONE FAMILY HOMES",77,198085,447991,415000,1200000,2005,"WILLOWBROOK"
"125","Staten Island","WILLOWBROOK","02 TWO FAMILY HOMES",39,210000,561810,575000,999000,2005,"WILLOWBROOK"
"126","Staten Island","WOODROW","01 ONE FAMILY HOMES",95,254500,455940,453000,918750,2005,"WOODROW"
"127","Staten Island","WOODROW","02 TWO FAMILY HOMES",43,413000,602347,545000,9e+05,2005,"WOODROW"
"128","Staten Island","AIRPORT LA GUARDIA","01 ONE FAMILY HOMES",6,178750,445958,490000,530000,2005,"LAGUARDIA AIRPORT"
"129","Staten Island","AIRPORT LA GUARDIA","02 TWO FAMILY HOMES",2,475000,507500,507500,540000,2005,"LAGUARDIA AIRPORT"
"130","Staten Island","AIRPORT LA GUARDIA","03 THREE FAMILY HOMES",1,745000,745000,745000,745000,2005,"LAGUARDIA AIRPORT"
"131","Staten Island","ARVERNE","01 ONE FAMILY HOMES",87,160000,305615,295000,7e+05,2005,"ARVERNE"
"132","Staten Island","ARVERNE","02 TWO FAMILY HOMES",180,150000,414127,417500,540000,2005,"ARVERNE"
"133","Staten Island","ARVERNE","03 THREE FAMILY HOMES",20,220000,475373,471000,890000,2005,"ARVERNE"
"134","Staten Island","ASTORIA","01 ONE FAMILY HOMES",85,2e+05,578771,564000,2175000,2005,"ASTORIA"
"135","Staten Island","ASTORIA","02 TWO FAMILY HOMES",210,175000,685243,670000,2e+06,2005,"ASTORIA"
"136","Staten Island","ASTORIA","03 THREE FAMILY HOMES",83,150000,715707,740000,1075000,2005,"ASTORIA"
"137","Staten Island","BAYSIDE","01 ONE FAMILY HOMES",424,180000,651426,634500,2e+06,2005,"BAYSIDE"
"138","Staten Island","BAYSIDE","02 TWO FAMILY HOMES",131,2e+05,764615,773800,1181170,2005,"BAYSIDE"
"139","Staten Island","BAYSIDE","03 THREE FAMILY HOMES",14,233333,822550,848500,999000,2005,"BAYSIDE"
"140","Staten Island","BEECHHURST","01 ONE FAMILY HOMES",66,160000,825152,8e+05,1635000,2005,"BEECHHURST"
"141","Staten Island","BEECHHURST","02 TWO FAMILY HOMES",2,625000,725000,725000,825000,2005,"BEECHHURST"
"142","Staten Island","BELLE HARBOR","01 ONE FAMILY HOMES",38,250000,739896,750000,1200000,2005,"BELLE HARBOR"
"143","Staten Island","BELLE HARBOR","02 TWO FAMILY HOMES",37,290000,868257,885000,1400000,2005,"BELLE HARBOR"
"144","Staten Island","BELLE HARBOR","03 THREE FAMILY HOMES",3,710000,836667,820000,980000,2005,"BELLE HARBOR"
"145","Staten Island","BELLEROSE","01 ONE FAMILY HOMES",181,205000,493579,490000,765000,2005,"BELLEROSE"
"146","Staten Island","BELLEROSE","02 TWO FAMILY HOMES",49,250000,554675,550000,795000,2005,"BELLEROSE"
"147","Staten Island","BRIARWOOD","01 ONE FAMILY HOMES",39,380000,568715,550000,965000,2005,"BRIARWOOD"
"148","Staten Island","BRIARWOOD","02 TWO FAMILY HOMES",24,370000,617671,625000,825000,2005,"BRIARWOOD"
"149","Staten Island","BRIARWOOD","03 THREE FAMILY HOMES",11,2e+05,760500,740000,1400000,2005,"BRIARWOOD"
"150","Staten Island","BROAD CHANNEL","01 ONE FAMILY HOMES",27,155000,344525,320000,570000,2005,"BROAD CHANNEL"
"151","Staten Island","BROAD CHANNEL","02 TWO FAMILY HOMES",7,177500,385543,465000,593336,2005,"BROAD CHANNEL"
"152","Staten Island","CAMBRIA HEIGHTS","01 ONE FAMILY HOMES",170,150000,373047,382500,550000,2005,"CAMBRIA HEIGHTS"
"153","Staten Island","CAMBRIA HEIGHTS","02 TWO FAMILY HOMES",10,2e+05,377610,409500,505000,2005,"CAMBRIA HEIGHTS"
"154","Staten Island","COLLEGE POINT","01 ONE FAMILY HOMES",125,257500,505107,485000,930000,2005,"COLLEGE POINT"
"155","Staten Island","COLLEGE POINT","02 TWO FAMILY HOMES",192,195000,638621,650000,1225000,2005,"COLLEGE POINT"
"156","Staten Island","COLLEGE POINT","03 THREE FAMILY HOMES",15,527000,687683,640000,1215000,2005,"COLLEGE POINT"
"157","Staten Island","CORONA","01 ONE FAMILY HOMES",86,225000,519546,496500,1290000,2005,"CORONA"
"158","Staten Island","CORONA","02 TWO FAMILY HOMES",273,150000,644981,650000,1150000,2005,"CORONA"
"159","Staten Island","CORONA","03 THREE FAMILY HOMES",204,150000,725283,742500,1750000,2005,"CORONA"
"160","Staten Island","DOUGLASTON","01 ONE FAMILY HOMES",66,325000,861461,764000,2350000,2005,"DOUGLASTON"
"161","Staten Island","DOUGLASTON","02 TWO FAMILY HOMES",16,575000,802928,792026,972428,2005,"DOUGLASTON"
"162","Staten Island","EAST ELMHURST","01 ONE FAMILY HOMES",113,168000,476256,480000,1160000,2005,"EAST ELMHURST"
"163","Staten Island","EAST ELMHURST","02 TWO FAMILY HOMES",139,150000,625408,635000,975000,2005,"EAST ELMHURST"
"164","Staten Island","EAST ELMHURST","03 THREE FAMILY HOMES",42,233333,691492,738500,1200000,2005,"EAST ELMHURST"
"165","Staten Island","ELMHURST","01 ONE FAMILY HOMES",151,162500,516072,510000,970000,2005,"ELMHURST"
"166","Staten Island","ELMHURST","02 TWO FAMILY HOMES",194,160000,619013,625000,1250000,2005,"ELMHURST"
"167","Staten Island","ELMHURST","03 THREE FAMILY HOMES",136,150000,775399,790000,1475000,2005,"ELMHURST"
"168","Staten Island","FAR ROCKAWAY","01 ONE FAMILY HOMES",149,150000,435598,410000,1600000,2005,"FAR ROCKAWAY"
"169","Staten Island","FAR ROCKAWAY","02 TWO FAMILY HOMES",213,165000,470331,471293,930000,2005,"FAR ROCKAWAY"
"170","Staten Island","FAR ROCKAWAY","03 THREE FAMILY HOMES",57,250000,542749,549000,1100000,2005,"FAR ROCKAWAY"
"171","Staten Island","FLORAL PARK","01 ONE FAMILY HOMES",179,151500,534086,525000,890000,2005,"FLORAL PARK"
"172","Staten Island","FLORAL PARK","02 TWO FAMILY HOMES",9,150000,559389,6e+05,675000,2005,"FLORAL PARK"
"173","Staten Island","FLUSHING-NORTH","01 ONE FAMILY HOMES",668,181154,607745,6e+05,1510000,2005,"FLUSHING"
"174","Staten Island","FLUSHING-NORTH","02 TWO FAMILY HOMES",267,160000,700186,720000,1400000,2005,"FLUSHING"
"175","Staten Island","FLUSHING-NORTH","03 THREE FAMILY HOMES",87,180000,792644,805000,1390000,2005,"FLUSHING"
"176","Staten Island","FLUSHING-SOUTH","01 ONE FAMILY HOMES",342,150000,565353,540000,1300000,2005,"FLUSHING"
"177","Staten Island","FLUSHING-SOUTH","02 TWO FAMILY HOMES",106,2e+05,654702,649500,1160000,2005,"FLUSHING"
"178","Staten Island","FLUSHING-SOUTH","03 THREE FAMILY HOMES",21,150000,749416,733000,998980,2005,"FLUSHING"
"179","Staten Island","FOREST HILLS","01 ONE FAMILY HOMES",196,175000,864881,722500,2600000,2005,"FOREST HILLS"
"180","Staten Island","FOREST HILLS","02 TWO FAMILY HOMES",40,3e+05,716312,642240,1960000,2005,"FOREST HILLS"
"181","Staten Island","FOREST HILLS","03 THREE FAMILY HOMES",3,608000,774333,750000,965000,2005,"FOREST HILLS"
"182","Staten Island","FRESH MEADOWS","01 ONE FAMILY HOMES",112,2e+05,618744,628000,990000,2005,"FRESH MEADOWS"
"183","Staten Island","FRESH MEADOWS","02 TWO FAMILY HOMES",18,395000,616306,659750,778000,2005,"FRESH MEADOWS"
"184","Staten Island","GLEN OAKS","01 ONE FAMILY HOMES",24,360000,531813,515000,760000,2005,"GLEN OAKS"
"185","Staten Island","GLEN OAKS","02 TWO FAMILY HOMES",4,370000,482500,512500,535000,2005,"GLEN OAKS"
"186","Staten Island","GLEN OAKS","03 THREE FAMILY HOMES",1,720000,720000,720000,720000,2005,"GLEN OAKS"
"187","Staten Island","GLENDALE","01 ONE FAMILY HOMES",101,190000,467405,460000,820000,2005,"GLENDALE"
"188","Staten Island","GLENDALE","02 TWO FAMILY HOMES",174,170000,538057,542500,1460000,2005,"GLENDALE"
"189","Staten Island","GLENDALE","03 THREE FAMILY HOMES",18,497760,675978,640000,989000,2005,"GLENDALE"
"190","Staten Island","HAMMELS","01 ONE FAMILY HOMES",21,160000,307476,3e+05,491790,2005,"HAMMELS"
"191","Staten Island","HAMMELS","02 TWO FAMILY HOMES",33,160000,409392,425000,646588,2005,"HAMMELS"
"192","Staten Island","HAMMELS","03 THREE FAMILY HOMES",11,325000,482922,479000,685000,2005,"HAMMELS"
"193","Staten Island","HILLCREST","01 ONE FAMILY HOMES",34,175000,544515,537000,920000,2005,"HILLCREST"
"194","Staten Island","HILLCREST","02 TWO FAMILY HOMES",10,350000,510000,511000,670000,2005,"HILLCREST"
"195","Staten Island","HILLCREST","03 THREE FAMILY HOMES",12,997000,997917,998000,998000,2005,"HILLCREST"
"196","Staten Island","HOLLIS","01 ONE FAMILY HOMES",368,150000,396505,398450,830000,2005,"HOLLIS"
"197","Staten Island","HOLLIS","02 TWO FAMILY HOMES",164,2e+05,508511,480000,1650000,2005,"HOLLIS"
"198","Staten Island","HOLLIS","03 THREE FAMILY HOMES",7,375000,571999,605000,750000,2005,"HOLLIS"
